network,method,algorithm_variant,M,T,stage1_runtime_seconds,stage2_runtime_seconds,total_runtime_seconds
9_lines_245_stations,exact,exact,6,70,1.7312,0.0810,1.8122
9_lines_245_stations,ea_ra,random,7,10,1249.6002,1.1328,1250.7330
9_lines_245_stations,heuristic,heuristic,7,10,0.0444,0.0691,0.1135
9_lines_245_stations,exact,exact,7,10,2.0605,0.0510,2.1115
9_lines_245_stations,ea_ra,random,7,20,1249.6002,31.3436,1280.9438
9_lines_245_stations,heuristic,heuristic,7,20,0.0449,0.1481,0.1930
9_lines_245_stations,exact,exact,7,20,2.0605,0.0540,2.1145
9_lines_245_stations,ea_ra,random,7,30,1249.6002,544.8731,1794.4733
9_lines_245_stations,heuristic,heuristic,7,30,0.0452,0.2279,0.2731
9_lines_245_stations,exact,exact,7,30,2.0605,0.0600,2.1205
9_lines_245_stations,ea_ra,random,7,40,1249.6002,3740.8847,4990.4849
9_lines_245_stations,heuristic,heuristic,7,40,0.0450,0.3084,0.3534
9_lines_245_stations,exact,exact,7,40,2.0605,0.0600,2.1205
9_lines_245_stations,ea_ra,random,7,50,1249.6002,1732.0777,2981.6779
9_lines_245_stations,heuristic,heuristic,7,50,0.0492,0.4392,0.4884
9_lines_245_stations,exact,exact,7,50,2.0605,0.0660,2.1265
9_lines_245_stations,ea_ra,random,7,60,1249.6002,1808.6458,3058.2460
9_lines_245_stations,heuristic,heuristic,7,60,0.0449,0.4697,0.5146
9_lines_245_stations,exact,exact,7,60,2.0605,0.0690,2.1295
9_lines_245_stations,ea_ra,random,7,70,1249.6002,1958.4704,3208.0706
9_lines_245_stations,heuristic,heuristic,7,70,0.0446,0.5504,0.5950
9_lines_245_stations,exact,exact,7,70,2.0605,0.0690,2.1295
9_lines_245_stations,ea_ra,random,8,10,1247.2334,1.1867,1248.4201
9_lines_245_stations,heuristic,heuristic,8,10,0.0488,0.0578,0.1066
9_lines_245_stations,exact,exact,8,10,1.9958,0.0480,2.0438
9_lines_245_stations,ea_ra,random,8,20,1247.2334,58.9197,1306.1531
9_lines_245_stations,heuristic,heuristic,8,20,0.0491,0.1511,0.2002
9_lines_245_stations,exact,exact,8,20,1.9958,0.0540,2.0498
9_lines_245_stations,ea_ra,random,8,30,1247.2334,1925.9568,3173.1902
9_lines_245_stations,heuristic,heuristic,8,30,0.0490,0.2503,0.2993
9_lines_245_stations,exact,exact,8,30,1.9958,0.0567,2.0525
9_lines_245_stations,ea_ra,random,8,40,1247.2334,1791.0427,3038.2761
9_lines_245_stations,heuristic,heuristic,8,40,0.0488,0.3417,0.3905
9_lines_245_stations,exact,exact,8,40,1.9958,0.0600,2.0558
9_lines_245_stations,ea_ra,random,8,50,1247.2334,1822.3912,3069.6246
9_lines_245_stations,heuristic,heuristic,8,50,0.0495,0.4378,0.4873
9_lines_245_stations,exact,exact,8,50,1.9958,0.0660,2.0618
9_lines_245_stations,ea_ra,random,8,60,1247.2334,1833.6920,3080.9254
9_lines_245_stations,heuristic,heuristic,8,60,0.0475,0.5298,0.5773
9_lines_245_stations,exact,exact,8,60,1.9958,0.0660,2.0618
9_lines_245_stations,ea_ra,random,8,70,1247.2334,1871.7204,3118.9538
9_lines_245_stations,heuristic,heuristic,8,70,0.0482,0.6269,0.6751
9_lines_245_stations,exact,exact,8,70,1.9958,0.0720,2.0678
9_lines_245_stations,ea_ra,random,9,10,1249.8566,1.3094,1251.1660
9_lines_245_stations,heuristic,heuristic,9,10,0.0532,0.0469,0.1001
9_lines_245_stations,exact,exact,9,10,1.7297,0.0480,1.7777
9_lines_245_stations,ea_ra,random,9,20,1249.8566,91.9885,1341.8451
9_lines_245_stations,heuristic,heuristic,9,20,0.0529,0.1569,0.2098
9_lines_245_stations,exact,exact,9,20,1.7297,0.0510,1.7807
9_lines_245_stations,ea_ra,random,9,30,1249.8566,1828.8222,3078.6788
9_lines_245_stations,heuristic,heuristic,9,30,0.0529,0.2675,0.3204
9_lines_245_stations,exact,exact,9,30,1.7297,0.0480,1.7777
9_lines_245_stations,ea_ra,random,9,40,1249.8566,1992.4137,3242.2703
9_lines_245_stations,heuristic,heuristic,9,40,0.0531,0.3795,0.4326
9_lines_245_stations,exact,exact,9,40,1.7297,0.0540,1.7837
9_lines_245_stations,ea_ra,random,9,50,1249.8566,2030.4306,3280.2872
9_lines_245_stations,heuristic,heuristic,9,50,0.0529,0.4883,0.5412
9_lines_245_stations,exact,exact,9,50,1.7297,0.0600,1.7897
9_lines_245_stations,ea_ra,random,9,60,1249.8566,2078.2940,3328.1506
9_lines_245_stations,heuristic,heuristic,9,60,0.0528,0.5986,0.6514
9_lines_245_stations,exact,exact,9,60,1.7297,0.0600,1.7897
9_lines_245_stations,ea_ra,random,9,70,1249.8566,2114.6352,3364.4918
9_lines_245_stations,heuristic,heuristic,9,70,0.0584,0.8032,0.8616
9_lines_245_stations,exact,exact,9,70,1.7297,0.0630,1.7927
9_lines_245_stations,ea_ra,random,10,10,1298.9026,0.9370,1299.8396
9_lines_245_stations,heuristic,heuristic,10,10,0.0584,0.0341,0.0925
9_lines_245_stations,exact,exact,10,10,1.7216,0.0390,1.7606
9_lines_245_stations,ea_ra,random,10,20,1298.9026,117.9446,1416.8472
